name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Day 1 ◑,HONNE,0.718,0.772,5.0,-5.155,0.0,0.0529,0.298,0.0,0.337,0.843,95.917,audio_features,1HHIv96gVeVkoOBzQeH9d8,spotify:track:1HHIv96gVeVkoOBzQeH9d8,https://api.spotify.com/v1/tracks/1HHIv96gVeVkoOBzQeH9d8,https://api.spotify.com/v1/audio-analysis/1HHIv96gVeVkoOBzQeH9d8,221000.0,4.0
If You Don't Want My Love,Jalen Ngonda,0.689,0.666,7.0,-5.147,1.0,0.0391,0.557,1.9e-06,0.115,0.197,105.006,audio_features,0u4warxXglSh16oXyMEpoB,spotify:track:0u4warxXglSh16oXyMEpoB,https://api.spotify.com/v1/tracks/0u4warxXglSh16oXyMEpoB,https://api.spotify.com/v1/audio-analysis/0u4warxXglSh16oXyMEpoB,190348.0,4.0
Music Sounds Better with You,NEIL FRANCES,0.897,0.666,11.0,-7.324,0.0,0.0643,0.146,0.00514,0.0953,0.537,113.013,audio_features,2cpMKfiXvUmPni5jpTCvxd,spotify:track:2cpMKfiXvUmPni5jpTCvxd,https://api.spotify.com/v1/tracks/2cpMKfiXvUmPni5jpTCvxd,https://api.spotify.com/v1/audio-analysis/2cpMKfiXvUmPni5jpTCvxd,218000.0,4.0
Tondo,"Disclosure, Eko Roosevelt",0.86,0.662,7.0,-5.666,1.0,0.0819,0.0809,1.27e-05,0.101,0.657,120.035,audio_features,3UiNJ6yEsbA74igJmDZ6Xz,spotify:track:3UiNJ6yEsbA74igJmDZ6Xz,https://api.spotify.com/v1/tracks/3UiNJ6yEsbA74igJmDZ6Xz,https://api.spotify.com/v1/audio-analysis/3UiNJ6yEsbA74igJmDZ6Xz,196709.0,4.0
1st Time,Bakar,0.734,0.828,6.0,-4.433,0.0,0.033,0.398,0.0225,0.136,0.717,127.023,audio_features,5A5bLKdL5I3k3FTEQlAUw7,spotify:track:5A5bLKdL5I3k3FTEQlAUw7,https://api.spotify.com/v1/tracks/5A5bLKdL5I3k3FTEQlAUw7,https://api.spotify.com/v1/audio-analysis/5A5bLKdL5I3k3FTEQlAUw7,205000.0,4.0
Thinking of You (Spotify Singles),Joesef,0.699,0.902,11.0,-5.015,1.0,0.0428,0.255,0.171,0.103,0.911,106.014,audio_features,30ae9cv36eD4Q6Zc8PVF8v,spotify:track:30ae9cv36eD4Q6Zc8PVF8v,https://api.spotify.com/v1/tracks/30ae9cv36eD4Q6Zc8PVF8v,https://api.spotify.com/v1/audio-analysis/30ae9cv36eD4Q6Zc8PVF8v,175016.0,4.0
Disco Man,Remi Wolf,0.766,0.547,5.0,-7.605,1.0,0.0561,0.389,1.13e-05,0.0919,0.35,103.898,audio_features,66YywMJbAgzQrGkFKjnSsK,spotify:track:66YywMJbAgzQrGkFKjnSsK,https://api.spotify.com/v1/tracks/66YywMJbAgzQrGkFKjnSsK,https://api.spotify.com/v1/audio-analysis/66YywMJbAgzQrGkFKjnSsK,154387.0,4.0
Tangerine,Glass Animals,0.569,0.724,11.0,-5.404,0.0,0.0246,0.134,0.000125,0.106,0.649,104.328,audio_features,6lB0AAe5f8msn8vqUNkVsN,spotify:track:6lB0AAe5f8msn8vqUNkVsN,https://api.spotify.com/v1/tracks/6lB0AAe5f8msn8vqUNkVsN,https://api.spotify.com/v1/audio-analysis/6lB0AAe5f8msn8vqUNkVsN,184867.0,4.0
Happiness (Dance Floor Edit),The 1975,0.691,0.854,6.0,-4.543,0.0,0.0674,0.00183,0.00828,0.333,0.834,124.008,audio_features,6PftSaJIUfDKLoxCHpBvqs,spotify:track:6PftSaJIUfDKLoxCHpBvqs,https://api.spotify.com/v1/tracks/6PftSaJIUfDKLoxCHpBvqs,https://api.spotify.com/v1/audio-analysis/6PftSaJIUfDKLoxCHpBvqs,212825.0,4.0
For A Minute,WizTheMc,0.369,0.829,10.0,-3.81,1.0,0.0789,0.0684,0.0991,0.343,0.63,102.175,audio_features,05NwKm5My3fS780CUUDJFy,spotify:track:05NwKm5My3fS780CUUDJFy,https://api.spotify.com/v1/tracks/05NwKm5My3fS780CUUDJFy,https://api.spotify.com/v1/audio-analysis/05NwKm5My3fS780CUUDJFy,203484.0,4.0
Rice,Young Fathers,0.707,0.735,1.0,-5.237,1.0,0.0362,0.00896,4.78e-05,0.0433,0.762,129.965,audio_features,3Gplr4iOpewQ9ynbZujzlu,spotify:track:3Gplr4iOpewQ9ynbZujzlu,https://api.spotify.com/v1/tracks/3Gplr4iOpewQ9ynbZujzlu,https://api.spotify.com/v1/audio-analysis/3Gplr4iOpewQ9ynbZujzlu,158240.0,4.0
