name,artist,features
Both Of Us - Edit,Jayda G,"{'danceability': 0.735, 'energy': 0.71, 'key': 11, 'loudness': -10.222, 'mode': 1, 'speechiness': 0.0766, 'acousticness': 0.00851, 'instrumentalness': 0.762, 'liveness': 0.0684, 'valence': 0.507, 'tempo': 123.962, 'type': 'audio_features', 'id': '75rGONmoi48LLYBFaGiYsv', 'uri': 'spotify:track:75rGONmoi48LLYBFaGiYsv', 'track_href': 'https://api.spotify.com/v1/tracks/75rGONmoi48LLYBFaGiYsv', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/75rGONmoi48LLYBFaGiYsv', 'duration_ms': 229425, 'time_signature': 4}"
Sunday Morning,Hamzaa,"{'danceability': 0.73, 'energy': 0.843, 'key': 6, 'loudness': -3.314, 'mode': 1, 'speechiness': 0.0528, 'acousticness': 0.186, 'instrumentalness': 0, 'liveness': 0.372, 'valence': 0.658, 'tempo': 92.027, 'type': 'audio_features', 'id': '0CxVnKu6PG6tYTGVtSD8UU', 'uri': 'spotify:track:0CxVnKu6PG6tYTGVtSD8UU', 'track_href': 'https://api.spotify.com/v1/tracks/0CxVnKu6PG6tYTGVtSD8UU', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0CxVnKu6PG6tYTGVtSD8UU', 'duration_ms': 200680, 'time_signature': 4}"
Mona Lisa,Dominic Fike,"{'danceability': 0.759, 'energy': 0.646, 'key': 1, 'loudness': -7.603, 'mode': 1, 'speechiness': 0.12, 'acousticness': 0.231, 'instrumentalness': 0, 'liveness': 0.161, 'valence': 0.445, 'tempo': 111.043, 'type': 'audio_features', 'id': '71DSaeKtXQaMAqnvMT7Uoc', 'uri': 'spotify:track:71DSaeKtXQaMAqnvMT7Uoc', 'track_href': 'https://api.spotify.com/v1/tracks/71DSaeKtXQaMAqnvMT7Uoc', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/71DSaeKtXQaMAqnvMT7Uoc', 'duration_ms': 186067, 'time_signature': 4}"
"Sunflower, Vol. 6",Harry Styles,"{'danceability': 0.566, 'energy': 0.846, 'key': 7, 'loudness': -6.904, 'mode': 0, 'speechiness': 0.035, 'acousticness': 0.000564, 'instrumentalness': 0.000795, 'liveness': 0.121, 'valence': 0.86, 'tempo': 160.02, 'type': 'audio_features', 'id': '6iYMfxznTBlcVOgRHab2W0', 'uri': 'spotify:track:6iYMfxznTBlcVOgRHab2W0', 'track_href': 'https://api.spotify.com/v1/tracks/6iYMfxznTBlcVOgRHab2W0', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6iYMfxznTBlcVOgRHab2W0', 'duration_ms': 221827, 'time_signature': 4}"
GOOD TIMES,Jungle,"{'danceability': 0.629, 'energy': 0.947, 'key': 11, 'loudness': -4.414, 'mode': 0, 'speechiness': 0.0592, 'acousticness': 0.0856, 'instrumentalness': 0.0262, 'liveness': 0.328, 'valence': 0.659, 'tempo': 133.007, 'type': 'audio_features', 'id': '6I6QkE2UVSj9YX48oRrD6e', 'uri': 'spotify:track:6I6QkE2UVSj9YX48oRrD6e', 'track_href': 'https://api.spotify.com/v1/tracks/6I6QkE2UVSj9YX48oRrD6e', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/6I6QkE2UVSj9YX48oRrD6e', 'duration_ms': 181312, 'time_signature': 4}"
Funny Thing,Thundercat,"{'danceability': 0.586, 'energy': 0.893, 'key': 7, 'loudness': -8.772, 'mode': 1, 'speechiness': 0.439, 'acousticness': 0.827, 'instrumentalness': 0.642, 'liveness': 0.212, 'valence': 0.65, 'tempo': 140.023, 'type': 'audio_features', 'id': '1c5CllrZr45UBhWpIqM332', 'uri': 'spotify:track:1c5CllrZr45UBhWpIqM332', 'track_href': 'https://api.spotify.com/v1/tracks/1c5CllrZr45UBhWpIqM332', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1c5CllrZr45UBhWpIqM332', 'duration_ms': 116630, 'time_signature': 3}"
peanut butter,easy life,"{'danceability': 0.667, 'energy': 0.466, 'key': 6, 'loudness': -7.565, 'mode': 1, 'speechiness': 0.176, 'acousticness': 0.703, 'instrumentalness': 0, 'liveness': 0.0807, 'valence': 0.819, 'tempo': 85.949, 'type': 'audio_features', 'id': '4K9Jh6jnw0P4FZUwrG6Keb', 'uri': 'spotify:track:4K9Jh6jnw0P4FZUwrG6Keb', 'track_href': 'https://api.spotify.com/v1/tracks/4K9Jh6jnw0P4FZUwrG6Keb', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4K9Jh6jnw0P4FZUwrG6Keb', 'duration_ms': 160657, 'time_signature': 4}"
The Sun Is Up Forever,Joesef,"{'danceability': 0.698, 'energy': 0.668, 'key': 9, 'loudness': -7.031, 'mode': 0, 'speechiness': 0.0322, 'acousticness': 0.251, 'instrumentalness': 2.86e-05, 'liveness': 0.0797, 'valence': 0.719, 'tempo': 99.99, 'type': 'audio_features', 'id': '4i17ViZoevssgUvRifo0V5', 'uri': 'spotify:track:4i17ViZoevssgUvRifo0V5', 'track_href': 'https://api.spotify.com/v1/tracks/4i17ViZoevssgUvRifo0V5', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4i17ViZoevssgUvRifo0V5', 'duration_ms': 224740, 'time_signature': 4}"
SUNRISE,MICHELLE,"{'danceability': 0.821, 'energy': 0.444, 'key': 7, 'loudness': -5.954, 'mode': 1, 'speechiness': 0.0796, 'acousticness': 0.16, 'instrumentalness': 0.0191, 'liveness': 0.301, 'valence': 0.678, 'tempo': 87.029, 'type': 'audio_features', 'id': '0C3sscH57PNeQ8dmY6xTIR', 'uri': 'spotify:track:0C3sscH57PNeQ8dmY6xTIR', 'track_href': 'https://api.spotify.com/v1/tracks/0C3sscH57PNeQ8dmY6xTIR', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/0C3sscH57PNeQ8dmY6xTIR', 'duration_ms': 176940, 'time_signature': 4}"
Cotton Candy Lemonade,Blu DeTiger,"{'danceability': 0.711, 'energy': 0.436, 'key': 1, 'loudness': -7.917, 'mode': 0, 'speechiness': 0.0313, 'acousticness': 0.514, 'instrumentalness': 2.07e-05, 'liveness': 0.272, 'valence': 0.45, 'tempo': 100.998, 'type': 'audio_features', 'id': '1RfPf0W4OlIWROTV5Afs3S', 'uri': 'spotify:track:1RfPf0W4OlIWROTV5Afs3S', 'track_href': 'https://api.spotify.com/v1/tracks/1RfPf0W4OlIWROTV5Afs3S', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/1RfPf0W4OlIWROTV5Afs3S', 'duration_ms': 146876, 'time_signature': 4}"
